iter	Passed	Remaining
885	5030	647
886	5035	641
887	5041	635
888	5046	630
889	5051	624
890	5057	618
891	5063	613
892	5068	607
893	5074	601
894	5079	595
895	5084	590
896	5090	584
897	5095	578
898	5101	573
899	5106	567
900	5111	561
901	5116	555
902	5122	550
903	5127	544
904	5132	538
905	5139	533
906	5144	527
907	5149	521
908	5154	516
909	5159	510
910	5165	504
911	5171	498
912	5176	493
913	5181	487
914	5187	481
915	5192	476
916	5197	470
917	5203	464
918	5208	459
919	5214	453
920	5219	447
921	5225	442
922	5232	436
923	5238	430
924	5244	425
925	5250	419
926	5255	413
927	5262	408
928	5267	402
929	5273	396
930	5279	391
931	5284	385
932	5290	379
933	5296	374
934	5302	368
935	5307	362
936	5313	357
937	5319	351
938	5324	345
939	5330	340
940	5335	334
941	5341	328
942	5347	323
943	5352	317
944	5358	311
945	5364	306
946	5369	300
947	5375	294
948	5381	289
949	5386	283
950	5391	277
951	5397	272
952	5402	266
953	5408	260
954	5414	255
955	5419	249
956	5425	243
957	5430	238
958	5436	232
959	5442	226
960	5449	221
961	5454	215
962	5460	209
963	5466	204
964	5472	198
965	5478	192
966	5484	187
967	5491	181
968	5497	175
969	5503	170
970	5510	164
971	5515	158
972	5521	153
973	5526	147
974	5531	141
975	5537	136
976	5542	130
977	5548	124
978	5554	119
979	5560	113
980	5566	107
981	5573	102
982	5579	96
983	5586	90
984	5591	85
985	5596	79
986	5602	73
987	5607	68
988	5613	62
989	5618	56
990	5624	51
991	5629	45
992	5635	39
993	5640	34
994	5646	28
995	5652	22
996	5657	17
997	5663	11
998	5669	5
999	5675	0
